feature;importance
CC_AMT_BALANCE_MIN;7.820728362755038e-05
REFUSED_AMT_APPLICATION_MAX;7.664613902412789e-05
CC_AMT_RECEIVABLE_PRINCIPAL_MIN;7.554278219441479e-05
CC_CNT_DRAWINGS_POS_CURRENT_SUM;7.50348684481398e-05
CLOSED_DAYS_CREDIT_VAR;7.354362008136241e-05
CC_AMT_DRAWINGS_CURRENT_SUM;7.289744847631392e-05
REFUSED_DAYS_DECISION_MIN;7.016190857430842e-05
ACTIVE_DAYS_CREDIT_UPDATE_MEAN;7.001612332133732e-05
APPROVED_RATE_DOWN_PAYMENT_MEAN;6.950542752465464e-05
REFUSED_AMT_CREDIT_MEAN;6.902506892308852e-05
APPROVED_AMT_CREDIT_MEAN;6.793314197113144e-05
CC_AMT_TOTAL_RECEIVABLE_SUM;6.720126572902323e-05
CC_AMT_BALANCE_VAR;6.641814708794064e-05
BURO_AMT_CREDIT_SUM_SUM;6.625675862557953e-05
POS_SK_DPD_DEF_MEAN;6.507972751108401e-05
CC_AMT_TOTAL_RECEIVABLE_MIN;6.471989879688356e-05
CLOSED_AMT_CREDIT_SUM_SUM;6.321816254751907e-05
CC_CNT_DRAWINGS_CURRENT_MIN;6.11252191951583e-05
CLOSED_AMT_CREDIT_SUM_MEAN;6.082570140452896e-05
REFUSED_HOUR_APPR_PROCESS_START_MEAN;6.05468054419333e-05
BURO_DAYS_CREDIT_UPDATE_MEAN;5.916690864849218e-05
APPROVED_AMT_CREDIT_MAX;5.8496594528192373e-05
CLOSED_DAYS_CREDIT_MIN;5.623077333755888e-05
CC_CNT_DRAWINGS_POS_CURRENT_MIN;5.620816321106872e-05
CC_AMT_BALANCE_MAX;5.354146416053179e-05
BURO_DAYS_CREDIT_MAX;5.347334257619665e-05
REFUSED_HOUR_APPR_PROCESS_START_MIN;5.2034002127683836e-05
REFUSED_AMT_ANNUITY_MAX;5.066680778959823e-05
APPROVED_AMT_GOODS_PRICE_MEAN;4.97330577829519e-05
FLAG_DOCUMENT_16;4.8480045241139506e-05
BURO_DAYS_CREDIT_VAR;4.836640504856105e-05
APPROVED_AMT_APPLICATION_MAX;4.620285738328233e-05
ACTIVE_DAYS_CREDIT_MEAN;4.6201346128960793e-05
BURO_CREDIT_TYPE_Credit card_MEAN;4.524415476053863e-05
CC_CNT_DRAWINGS_CURRENT_MAX;4.508541884093266e-05
CC_AMT_RECIVABLE_MAX;4.2958892077501276e-05
CC_CNT_DRAWINGS_CURRENT_MEAN;4.083007533550356e-05
CC_AMT_RECEIVABLE_PRINCIPAL_MAX;3.88616111097727e-05
BURO_DAYS_CREDIT_MEAN;3.849078744817882e-05
